<!-- Mode: physical lines (non-empty) -->

| Lines | File |
| 145 | `backend/services/lesson_steps/phase_steps.py` |
| 145 | `backend/services/objectives/formatting.py` |
| 145 | `backend/supabase/database/plans.py` |
| 144 | `frontend/src/components/batch_processor/index.tsx` |
| 143 | `tools/diagnostics/diagnose_crash.py` |
| 142 | `tools/pandera_schemas.py` |
| 142 | `tools/db/export_vs_parser_probe.py` |
| 142 | `tools/diagnostics/check_supabase_config.py` |
| 141 | `backend/llm/schema.py` |
| 141 | `tools/data_validation.py` |
| 141 | `tools/batch_processor_pkg/slot_flow_transform.py` |
| 141 | `tools/maintenance/generate_inventory.py` |
| 140 | `tools/db/enhanced_vocabulary_processor.py` |
| 140 | `tools/scraper/crawler.py` |
| 140 | `tools/scraper/docs_client.py` |
| 139 | `backend/supabase/database/lesson_steps.py` |
| 139 | `tools/test_end_to_end.py` |
| 137 | `tools/analyze_daniela_detailed.py` |
| 135 | `tools/docx_parser/structure.py` |
| 134 | `backend/api.py` |
| 133 | `tools/scraper/subject_config.py` |
| 132 | `backend/routers/health.py` |
| 132 | `tools/maintenance/fix_table_width_xml.py` |
| 131 | `tools/batch_processor_pkg/helpers.py` |
| 130 | `backend/llm/validation_error_parser.py` |
| 130 | `tools/docx_renderer/fallback_media.py` |
| 130 | `tools/maintenance/metadata_audit.py` |
| 128 | `backend/utils/schedule_utils.py` |
| 128 | `frontend/src/components/batch_processor/SlotSection.tsx` |
| 128 | `tools/batch_processor_pkg/week_flow_parallel.py` |
| 127 | `tools/maintenance/fix_plan_via_api.py` |
| 127 | `tools/maintenance/fix_table_width_correct.py` |
| 126 | `backend/utils/validate_lesson_json.py` |
| 125 | `backend/database/schedule.py` |
| 125 | `backend/services/objectives_pdf_extraction.py` |
| 123 | `tools/diagnostics/analyze_output_hyperlinks.py` |
| 123 | `tools/diagnostics/analyze_teacher_files.py` |
| 123 | `tools/diagnostics/slot_analysis_summary.py` |
| 122 | `backend/maintenance.py` |
| 122 | `backend/services/lesson_steps_generator.py` |
| 122 | `tools/check_table_structure.py` |
| 122 | `tools/maintenance/fix_table_alignment.py` |
| 121 | `backend/routers/curriculum.py` |
| 121 | `frontend/src/components/batch_processor/WeekSection.tsx` |
| 121 | `tools/db/inspect_math_artifacts.py` |
| 121 | `tools/scraper/docs_processor.py` |
| 121 | `tools/scraper/inspect_gdoc_tabs.py` |
| 120 | `backend/supabase/sync.py` |
| 120 | `frontend/src/components/analytics/OperationsTable.tsx` |
| 120 | `tools/worksheets/worksheet_generator.py` |
| 118 | `backend/services/objectives_pdf_subject.py` |
| 118 | `backend/services/objectives_pdf_templates.py` |
| 117 | `backend/database/curriculum_validation.py` |
| 117 | `backend/llm/api_key.py` |
| 117 | `backend/supabase/database/schedule.py` |
| 117 | `frontend/src/components/analytics/SessionTable.tsx` |
| 117 | `tools/analyze_table_structure_summary.py` |
| 115 | `frontend/src/components/analytics/index.tsx` |
| 115 | `tools/cmi5/cmi5_package_builder.py` |
| 114 | `backend/model_pricing.py` |
| 114 | `tools/count_referenced_links.py` |
| 114 | `tools/diagnose_hyperlink_flow.py` |
| 114 | `tools/maintenance/verify_both_outputs.py` |
| 112 | `tools/verify_strategy_pack_ssot.py` |
| 111 | `tools/set_monday_t5_ela_objective.py` |
| 110 | `tools/batch_processor_pkg/slot_flow_resolve.py` |
| 110 | `tools/diagnostics/diagnose_am_routine_issue.py` |
| 110 | `tools/diagnostics/diagnose_table_widths.py` |
| 110 | `tools/scraper/gdoc_docx_export.py` |
| 108 | `tools/count_links_per_slot.py` |
| 108 | `tools/maintenance/verify_config.py` |
| 107 | `backend/database/metrics_aggregate.py` |
| 107 | `frontend/src/components/analytics/ParallelStats.tsx` |
| 107 | `tools/restore_plan_from_tablet_export.py` |
| 107 | `tools/maintenance/fix_am_routine_data.py` |
| 106 | `frontend/src/components/desktop/DesktopNav.tsx` |
| 105 | `tools/refactor/plan_analyzer.py` |
| 104 | `tools/batch_processor_pkg/hyperlink_scrubber.py` |
